Row,LIFETIME,INTENSITY,CHISQR,VOLUME,GFP,RFP
D7,2020.39223684211,5.96052631578947,1.05386565789474,90.7500000000002,106.191950464396,204.231166150671
S7,1988.06075757576,10.7424242424242,0.97977403030303,90.75,89.0077243018419,244.68211527035
D6,2048.50351351351,6,1.04722587837838,90.75,104.504504504504,194.488606253312
S6,1970.47988235294,10.6588235294118,0.963181976470588,90.7500000000004,90.3344867358707,269.342560553633
D5,2089.16795918367,3.87755102040816,1.25526040816327,90.7499999999997,103.561424569828,211.604641856743
S5,1971.58864864865,10.0810810810811,1.05554517567568,90.7500000000001,98.5691573926867,313.301536830948
D4,2043.12426666667,5.73333333333333,1.15517493333333,90.7500000000001,142.065359477124,312.888888888889
S4,2055.59857142857,13.3809523809524,1.0359144047619,90.7500000000001,122.50233426704,325.910364145658
D3,1806.08406976744,6.31395348837209,1.11346913953488,90.7500000000012,116.552667578659,228.043775649795
S3,1923.26363636364,10.6883116883117,0.988947402597402,90.7499999999996,83.116883116883,265.393430099312
D2,2078.38132352941,4.48529411764706,1.13392244117647,90.7500000000001,92.3298731257208,179.181084198385
S2,2025.20045977012,13.551724137931,1.18552333333333,90.7500000000003,98.9407257155735,456.434527834122
D1,1951.850625,5.1625,1.1574467875,90.750000000001,105.294117647059,228.921568627451
S1,2220.96053763441,17.3333333333333,1.10115095698925,90.7500000000016,167.994939911448,357.07358212102
